iter	Logloss
0	0.6553093336
1	0.6235722786
2	0.5977517521
3	0.573757796
4	0.5551938331
5	0.5361691957
6	0.5204078076
7	0.5084539496
8	0.494475838
9	0.484742611
10	0.4758693712
11	0.4655130105
12	0.457168642
13	0.4499863763
14	0.4431885871
15	0.4373109967
16	0.4314074212
17	0.4256501358
18	0.4212711455
19	0.4169345518
20	0.4118621026
21	0.4076125702
22	0.4033649864
23	0.4000951496
24	0.3968928109
25	0.3934683066
26	0.3904428964
27	0.3876455003
28	0.3847857784
29	0.3801451492
30	0.3782624045
31	0.3753860061
32	0.3701877499
33	0.3666928787
34	0.3651419286
35	0.3630280668
36	0.3595335829
37	0.3577582718
38	0.3543971686
39	0.3501402659
40	0.3473286471
41	0.345088706
42	0.3439427253
43	0.3400833772
44	0.3362499034
45	0.33472576
46	0.3318358653
47	0.330154809
48	0.3279960639
49	0.32646527
50	0.323995346
51	0.3228915326
52	0.3206423384
53	0.3178366444
54	0.3164164032
55	0.3152766969
56	0.3145906071
57	0.3136815625
58	0.3095652961
59	0.306462337
60	0.3051600093
61	0.3018834874
62	0.2998360628
63	0.2979785199
64	0.2972730724
65	0.2965018645
66	0.2954218683
67	0.2940162088
68	0.2918160886
69	0.2903745756
70	0.2897018109
71	0.2882737887
72	0.287672794
73	0.2860332905
74	0.2847764368
75	0.283647854
76	0.2813401781
77	0.2786905249
78	0.2778275752
79	0.277152307
80	0.2757719009
81	0.2743144978
82	0.2734625523
83	0.272227934
84	0.2718140413
85	0.2714046114
86	0.2703296165
87	0.2691927056
88	0.2684249609
89	0.26533975
90	0.2632969772
91	0.2618697621
92	0.2613810273
93	0.2607187825
94	0.2601914392
95	0.2597832987
96	0.2592287881
97	0.2588047354
98	0.2584685766
99	0.2577612694
100	0.2565167074
101	0.2545094773
102	0.2539290402
103	0.2517252565
104	0.2513137761
105	0.2510299119
106	0.2496148297
107	0.2489450862
108	0.2482907349
109	0.2479044792
110	0.2454069382
111	0.2443344327
112	0.2437879324
113	0.2434193346
114	0.2410819268
115	0.2397874466
116	0.2379605088
117	0.2377243162
118	0.2371605522
119	0.2357678089
120	0.2354657961
121	0.2345798229
122	0.2337160617
123	0.2328220527
124	0.2320737966
125	0.2314481683
126	0.2302527638
127	0.2296384554
128	0.2285534145
129	0.2277491351
130	0.2267893153
131	0.2262575454
132	0.2259859828
133	0.2250296134
134	0.2245540848
135	0.2236695529
136	0.2229854467
137	0.2223335327
138	0.222051474
139	0.2216620589
140	0.2212967036
141	0.2198963246
142	0.2193272739
143	0.2185933134
144	0.2179237185
145	0.2173949305
146	0.2161888332
147	0.2153910985
148	0.2147529723
149	0.21335789
150	0.2129017667
151	0.2122973328
152	0.2118869458
153	0.2115400975
154	0.2109434622
155	0.2101019746
156	0.208605814
157	0.2081362433
158	0.2078319684
159	0.2069658911
160	0.2061405872
161	0.2050761358
162	0.2043546494
163	0.2029621202
164	0.2025812781
165	0.2007538672
166	0.2003121928
167	0.1998502884
168	0.1990067311
169	0.1988573501
170	0.1981984458
171	0.1968386407
172	0.1963630225
173	0.1957376517
174	0.1950572525
175	0.194383775
176	0.1938224408
177	0.1930212464
178	0.192686356
179	0.1923678981
180	0.1920628622
181	0.1912792826
182	0.1907747896
183	0.1905765373
184	0.1899837392
185	0.1893910244
186	0.1885169191
187	0.1881231988
188	0.1878487658
189	0.1875517775
190	0.1869766327
191	0.1864653359
192	0.1858783825
193	0.1853760181
194	0.1842985753
195	0.1834725049
196	0.1830483325
197	0.1826918059
198	0.1822368423
199	0.1810913778
200	0.1808255809
201	0.1805761033
202	0.1801367168
203	0.17981434
204	0.1792090838
205	0.1788777049
206	0.1781424293
207	0.1771898912
208	0.1770242479
209	0.1766988529
210	0.1763276264
211	0.1759532654
212	0.174484475
213	0.1739040233
214	0.1728386582
215	0.1721612795
216	0.1715563668
217	0.1713086965
218	0.1708293493
219	0.1705724427
220	0.1695593584
221	0.1686822306
222	0.1683883153
223	0.1681737868
224	0.1678142347
225	0.1676586065
226	0.1674438971
227	0.1672172875
228	0.167031144
229	0.1663730127
230	0.1660788549
231	0.1659028363
232	0.1649526858
233	0.1646905387
234	0.164065155
235	0.1638432131
236	0.1635321404
237	0.1627038694
238	0.1624644704
239	0.1620862958
240	0.1610416793
241	0.1608553638
242	0.1606610883
243	0.159868418
244	0.1595054003
245	0.1592038009
246	0.1589507178
247	0.1585816828
248	0.1583306158
249	0.1581325343
250	0.1576212867
251	0.157410097
252	0.1571920285
253	0.1569298446
254	0.1553117854
255	0.1548756452
256	0.1536141611
257	0.1534095545
258	0.1528095427
259	0.1525128972
260	0.1523514524
261	0.1519413
262	0.151749209
263	0.1509696948
264	0.1501644595
265	0.1498412066
266	0.1492741183
267	0.1491104764
268	0.1489558241
269	0.1483782447
270	0.1479367126
271	0.146937422
272	0.1467528197
273	0.1463399181
274	0.1462233528
275	0.1460268504
276	0.1455792214
277	0.1451972699
278	0.1449768807
279	0.1443343086
280	0.1439502042
281	0.1437573646
282	0.1433102305
283	0.1431434171
284	0.1429957094
285	0.1428506753
286	0.1426976188
287	0.1425656219
288	0.1424800247
289	0.1420912296
290	0.1419401583
291	0.1415730427
292	0.1413334468
293	0.1410749693
294	0.1407690153
295	0.1406247043
296	0.1395851238
297	0.1383044347
298	0.1381763849
299	0.1379126595
300	0.1376421343
301	0.1372694777
302	0.1371374484
303	0.1369642671
304	0.1368675125
305	0.1357422911
306	0.1348175672
307	0.1342539366
308	0.1338444039
309	0.1329464336
310	0.132676028
311	0.1323474327
312	0.1321558503
313	0.1316317209
314	0.1315175622
315	0.1314173623
316	0.1312990062
317	0.1303917779
318	0.1293503276
319	0.1285523063
320	0.128011134
321	0.1277416362
322	0.1274734047
323	0.1272018321
324	0.1271025006
325	0.1268572035
326	0.1267211254
327	0.1265155575
328	0.1263754082
329	0.1262460422
330	0.1258925535
331	0.1257573007
332	0.1255199582
333	0.1248128704
334	0.1246638062
335	0.1243884371
336	0.1241588703
337	0.1238736563
338	0.1237724523
339	0.1236655118
340	0.1235832891
341	0.1234573659
342	0.1232879643
343	0.1230473894
344	0.1224800771
345	0.1223384039
346	0.1221537611
347	0.1220566809
348	0.1219508349
349	0.1215062637
350	0.1213921867
351	0.1212898566
352	0.1211661916
353	0.1206457503
354	0.1198898487
355	0.1190454416
356	0.1182913505
357	0.11773819
358	0.1174496276
359	0.1172519811
360	0.1171027216
361	0.1169607863
362	0.116876692
363	0.1168029225
364	0.1166598468
365	0.1165012799
366	0.1163867581
367	0.1162429623
