iter	Passed	Remaining
0	161	161425
1	178	89140
2	195	64961
3	213	53228
4	230	45924
5	246	40778
6	261	37144
7	277	34459
8	294	32478
9	311	30801
10	331	29778
11	347	28640
12	364	27663
13	380	26833
14	400	26275
15	418	25761
16	435	25189
17	462	25210
18	483	24949
19	502	24603
20	522	24366
21	545	24252
22	564	23986
23	593	24124
24	624	24369
25	646	24222
26	667	24050
27	687	23878
28	711	23836
29	732	23696
30	753	23567
31	775	23467
32	796	23348
33	813	23102
34	831	22913
35	847	22691
36	863	22467
37	878	22252
38	895	22055
39	910	21855
40	933	21825
41	957	21833
42	976	21730
43	996	21647
44	1017	21596
45	1040	21570
46	1060	21501
47	1079	21416
48	1101	21373
49	1191	22629
50	1233	22948
51	1317	24019
52	1362	24341
53	1405	24616
54	1433	24637
55	1499	25277
56	1533	25374
57	1556	25276
58	1580	25214
59	1618	25356
60	1648	25371
61	1679	25413
62	1704	25344
63	1725	25229
64	1746	25125
65	1769	25044
66	1790	24934
67	1817	24908
68	1841	24852
69	1866	24800
70	1887	24701
71	1914	24679
72	1935	24573
73	1955	24473
74	1972	24331
75	1988	24175
76	2006	24057
77	2022	23910
78	2038	23770
79	2054	23627
80	2071	23503
81	2087	23373
82	2103	23240
83	2121	23138
84	2137	23006
85	2152	22880
86	2168	22757
87	2186	22656
88	2202	22543
89	2220	22451
90	2235	22332
91	2251	22220
92	2270	22141
93	2284	22022
94	2300	21915
95	2318	21829
96	2334	21733
97	2350	21631
98	2366	21533
99	2381	21435
100	2397	21340
101	2415	21261
102	2433	21189
103	2448	21097
104	2465	21015
105	2481	20926
106	2497	20843
107	2513	20761
108	2534	20721
109	2551	20640
110	2566	20558
111	2581	20471
112	2596	20384
113	2618	20351
114	2636	20292
115	2656	20240
116	2673	20174
117	2692	20121
118	2709	20058
119	2726	19995
120	2744	19937
121	2761	19871
122	2776	19798
123	2794	19739
124	2809	19669
125	2825	19600
126	2843	19546
127	2859	19481
128	2875	19414
129	2891	19348
130	2909	19301
131	2927	19253
132	2942	19180
133	2959	19128
134	2975	19062
135	2991	19001
136	3006	18940
137	3022	18882
138	3038	18823
139	3059	18795
140	3076	18744
141	3092	18687
142	3110	18642
143	3126	18587
144	3143	18536
145	3159	18480
146	3178	18441
147	3195	18397
148	3212	18347
149	3228	18294
150	3244	18240
151	3261	18196
152	3278	18146
153	3294	18096
154	3310	18045
155	3326	17995
156	3342	17947
157	3359	17905
158	3376	17859
159	3393	17813
160	3409	17765
161	3425	17721
162	3442	17676
163	3461	17643
164	3479	17605
165	3495	17560
166	3511	17516
167	3528	17472
168	3543	17426
169	3559	17379
170	3575	17334
171	3593	17300
172	3610	17260
173	3626	17214
